# GYM-111 — free-exercise-db cross-map for KEEP (public canonical) exercises.
# Dataset: https://raw.githubusercontent.com/yuhonas/free-exercise-db/main/dist/exercises.json
# License: free-exercise-db (yuhonas) — public domain (Unlicense).
# Generated by /tmp/crossmap.py (token-set + difflib seq ratio; weighted 0.7/0.3).
# confidence: high >=0.62, med >=0.45, low >=0.30, none <0.30.
# Columns: id <TAB> our_name <TAB> fxdb_name <TAB> equipment <TAB> primary_muscles <TAB> confidence <TAB> score
# Review action: verify low/none rows by hand; high/med are proposals only.
#
id	our_name	fxdb_name	equipment	primary_muscles	confidence	score
14	Dumbbell Lateral Raise	Dumbbell Raise	dumbbell	shoulders	high	0.703
24	Bent-Over Dumbbell Rear Delt Fly	Bent Over Dumbbell Rear Delt Raise With Head On Bench	dumbbell	shoulders	med	0.553
13	Dumbbell Shoulder Press	Dumbbell Shoulder Press	dumbbell	shoulders	high	1.0
65	Face Pull	Face Pull	cable	shoulders	high	1.0
68	Lateral Raise (Machine)	Lateral Raise - With Bands	bands	shoulders	high	0.677
42	Reverse Pec Deck (Rear Delt Fly)	Cable Rear Delt Fly	cable	shoulders	med	0.476
41	Shoulder Press (Machine)	Shoulder Press - With Bands	bands	shoulders	high	0.681
12	Smith Machine Shoulder Press	Smith Machine Overhead Shoulder Press	machine	shoulders	high	0.784
15	Upright Row	Upright Cable Row	cable	traps	high	0.707
74	Close-Grip Bench Press	Close-Grip Barbell Bench Press	barbell	triceps	high	0.813
18	Skull Crusher (Lying Triceps Extension)	Cable Lying Triceps Extension	cable	triceps	med	0.584
359	Smith Machine JM Press	JM Press	barbell	triceps	high	0.628
336	Triceps Dip Machine	Dip Machine	machine	triceps	med	0.572
19	Overhead Cable Triceps Extension	Cable Rope Overhead Triceps Extension	cable	triceps	high	0.792
354	Overhead Dumbbell Triceps Extension	Decline Dumbbell Triceps Extension	dumbbell	triceps	high	0.668
59	Single-Arm Triceps Pushdown	Triceps Pushdown	cable	triceps	med	0.581
1	Rope Triceps Pushdown	Triceps Pushdown	cable	triceps	high	0.731
2	Straight-Bar Triceps Pushdown	Triceps Pushdown	cable	triceps	med	0.57
39	V-Bar Triceps Pushdown	Triceps Pushdown - V-Bar Attachment	cable	triceps	high	0.747
